term,coef,std_error_HC3,p_value
Intercept,6.958389480624238,0.029955954014636396,0.0
C(sex)[T.Male],0.14267316875774455,0.024347208996849574,4.6303617348240865e-09
C(grade)[T.11th],-0.2035503391506968,0.03407137574534077,2.3117512993081776e-09
C(grade)[T.12th],-0.363565094242614,0.03375195146990441,4.68394674054528e-27
C(grade)[T.9th],0.24675161675956822,0.03523191087905297,2.493966331117275e-12
computer_hours_approx,-0.09307571959043001,0.008612087375123959,3.1696192733395487e-27
