computer_use_label,n,mean_sleep_hours,sd_sleep_hours,se_sleep_hours,pct_8plus_sleep
0 h,2399,6.837432263443102,1.4175415088869014,0.028941474985388488,34.472696957065445
<1 h,2672,6.8854790419161676,1.2903113005298115,0.02496182153878262,33.38323353293413
1 h,1984,6.881048387096774,1.2853037612275688,0.028855921278928436,32.51008064516129
2 h,2026,6.828726554787759,1.2671671748989597,0.028152320221091945,30.7502467917078
3 h,1310,6.706106870229007,1.267159122683001,0.03501027376148336,26.33587786259542
4 h,626,6.605431309904153,1.3467243421257828,0.05382593015144212,25.718849840255594
5+ h,1025,6.465365853658537,1.5814539418275684,0.0493963222697552,24.878048780487806
